mach,alpha,cl,cd,cm
0.2,0.549265,0.6002854681069152,0.005168641355712041,-0.15249333520187874
0.2,0.554326,0.5994081316768413,0.005076533590324238,-0.15309879346952862
0.25,0.560318,0.6001451726111137,0.0048185893652209705,-0.1537619670241966
0.3,0.591284,0.5996781011581104,0.00461453370731936,-0.1544103213790362
0.35,0.643545,0.600340825225326,0.004526017234392547,-0.15604824684406068
0.4,0.720916,0.6004156243239694,0.004384481048574232,-0.1583531436069853
0.45,0.818275,0.6002792771947634,0.004302726971150864,-0.16123659648109454
0.5,0.947701,0.6000691050462662,0.004202924659606968,-0.16530513394456803
0.55,1.105971,0.5999536639044413,0.0041161955932112445,-0.1705420370288782
0.6,1.301612,0.5999847778342412,0.004003224978489364,-0.1775353740852381
0.65,1.548468,0.5999981497185486,0.003875686081175648,-0.18720961410249864
0.7,1.872816,0.6000362979442311,0.003756718482336871,-0.20156951350335672
0.71,1.952233,0.5999956813199834,0.003732363064432288,-0.2053887429820093
0.72,2.039075,0.600023315618623,0.003689236541632644,-0.20982501390932123
0.73,42.044952,,,
0.74,2.243992,0.6000489956937286,0.003968641738457321,-0.22192035931711748
0.75,2.355853,0.600079611761835,0.004993752303488203,-0.2312897223405258
0.76,2.461862,0.5999256460625486,0.007097864827566168,-0.24341474160419865
0.77,2.570878,0.6000781654679053,0.010448699562523282,-0.2590752430615532
0.78,2.70426,0.5999779002216012,0.015093891257830968,-0.27956096602552744
0.79,4.112133,,,
0.8,2.5,,,
0.81,0.5,,,
0.82,0.5,,,
0.83,0.5,,,
0.84,0.5,,,
0.85,0.5,,,
